,apparentTemperature,cloudCover,dewPoint,humidity,icon,precipIntensity,precipProbability,precipType,summary,temperature,time,uvIndex,visibility,windBearing,windGust,windSpeed
71,57.3,,51.73,0.82,clear-night,0.0,0.0,,Clear,57.3,1313884800,0,6.21,170.0,,1.02
72,51.02,0.19,49.19,0.93,clear-night,0.0,0.0,,Clear,51.02,1316995200,0,6.22,90.0,1.16,0.39
73,29.83,0.86,32.21,0.81,partly-cloudy-night,0.0,0.0,,Mostly Cloudy,37.43,1333756800,0,6.22,232.0,11.45,11.45
74,41.03,,35.82,0.82,clear-night,0.0,0.0,,Clear,41.03,1332720000,0,6.21,11.0,1.16,1.16
75,59.03,,45.29,0.6,clear-night,0.0,0.0,,Clear,59.03,1310688000,0,6.21,200.0,11.51,11.51
76,39.45,1.0,37.61,0.83,rain,0.0167,0.57,rain,Light Rain,42.42,1336262400,0,6.22,0.0,4.99,4.82
77,46.98,,46.41,0.9,clear-night,0.0,0.0,,Clear,49.23,1319932800,0,5.38,141.0,5.57,5.57
78,16.53,0.75,21.22,0.85,partly-cloudy-night,0.0,0.0,,Mostly Cloudy,24.95,1329091200,0,3.92,243.0,10.01,7.62
79,73.13,,64.31,0.75,clear-night,0.0,0.0,,Clear,72.63,1312675200,0,6.21,161.0,12.01,9.21
80,33.19,0.75,35.6,0.81,partly-cloudy-night,0.0,0.0,,Mostly Cloudy,40.98,1330214400,0,6.22,295.0,,14.65
81,26.82,0.75,32.03,0.86,partly-cloudy-night,0.0,0.0,,Mostly Cloudy,35.92,1324252800,0,6.22,258.0,14.96,14.41
82,40.74,0.75,37.4,0.71,partly-cloudy-night,0.0,0.0,,Mostly Cloudy,46.44,1331424000,0,6.22,281.0,12.67,12.67
83,34.63,0.44,39.41,0.89,partly-cloudy-night,0.0,0.0,,Partly Cloudy,42.42,1322265600,0,6.22,240.0,16.1,16.1
84,40.45,,35.93,0.76,clear-night,0.0,0.0,,Clear,42.83,1335139200,0,6.21,224.0,4.16,4.16
85,34.64,0.75,37.16,0.86,partly-cloudy-night,0.0,0.0,,Mostly Cloudy,41.03,1322870400,0,6.22,235.0,12.01,10.68
86,33.34,0.75,33.79,0.78,partly-cloudy-night,0.0,0.0,,Mostly Cloudy,39.99,1323993600,0,6.21,201.0,11.51,10.68
87,34.82,,33.0,0.93,clear-night,0.0,0.0,,Clear,34.82,1319241600,0,6.22,,2.01,0.0
88,60.14,0.75,58.19,0.94,partly-cloudy-night,0.0,0.0,,Mostly Cloudy,60.03,1313193600,0,6.21,180.0,4.0,2.27
89,40.03,,40.21,0.9,clear-night,0.0,0.0,,Clear,43.02,1320451200,0,6.21,65.0,4.99,4.99
90,58.23,,46.94,0.66,clear-night,0.0,0.0,,Clear,58.23,1335571200,0,6.21,16.0,5.68,5.68
